iso,valence,arousal,dominance,joy,anger,sadness,fear,disgust
af,0.8048513680054734,0.5759795751116091,0.740161661623049,0.7596756050256218,0.7472758440119796,0.7367759743103705,0.7086470973460566,0.7437718868253179
sq,0.799466891557782,0.5678198260427002,0.7349906564598778,0.7460395521487068,0.7523038075347753,0.7491642476401501,0.7190185827009183,0.7226430441249877
am,0.5585734905131297,0.30736451142037335,0.5184512396337992,0.4849598443746734,0.5311452181015599,0.5423220697146017,0.5243783098527001,0.4709076568528941
ar,0.7774277628266898,0.5314973485512765,0.6968888459783958,0.7009041322548684,0.7528387946058211,0.7223574131280345,0.7054380024948088,0.7411810729788951
hy,0.7964433468819984,0.5175020375291575,0.7214559526635932,0.748404517096472,0.7698576277787335,0.7334319475779147,0.7086607604499339,0.7342183164304877
az,0.8053462391990978,0.5968399895846509,0.7312538545206447,0.7417126804640725,0.7536651447896269,0.7297252778713206,0.7030298623535097,0.7111818860631905
eu,0.7032795334732975,0.4565941421518052,0.6554613822117955,0.6371620525783398,0.684041417783143,0.6726935797903941,0.6406034545166605,0.635009977373853
be,0.7288486984029954,0.4856116543709059,0.6633262354856541,0.6806464129381181,0.7141176594119747,0.670307175707302,0.6684408996048388,0.6963647425951174
bn,0.7354377932061184,0.5022559776726419,0.666643334060291,0.6703565946662117,0.7049666662097864,0.670609776900232,0.6672675898998761,0.6579715189501456
bs,0.6266952839716635,0.43224090424949585,0.5979372192283231,0.5676792836632377,0.6366455213101045,0.6070881125704896,0.605574381149438,0.6010317734417505
bg,0.8205049960684738,0.5958332335103205,0.7608501411422735,0.7486006396373069,0.7748043690111948,0.7653235972296244,0.7318932300096725,0.7596987856210162
my,0.485696697430195,0.3557047586963347,0.42266251869133104,0.43113264146087044,0.4882037082545251,0.44630508461553914,0.45939501516967235,0.42770375520468573
ca,0.8421529663429623,0.6044532630667729,0.7960266766372601,0.7727715231985269,0.7921490017182646,0.7788522056954822,0.7584623102750763,0.7417800083213871
ceb,0.339836592819973,0.21846913553614905,0.29441229685349585,0.3408527172376652,0.35674875614566137,0.31570169058801834,0.32973147686370385,0.3418352301495468
zh,0.7918751929989297,0.601781671287336,0.7466444791772038,0.7164543009239902,0.772705316550508,0.7472463694462921,0.7542389069236795,0.7341743746554078
co,0.29398586081798234,0.24164812087460538,0.26737543274307196,0.2684991900635935,0.32302501042362114,0.29848895427602773,0.2947586147220386,0.30017107088790757
hr,0.7835524799122557,0.5626089169207175,0.7137520115243582,0.7237216923283268,0.7394948561957435,0.7140953476405298,0.7068714823871382,0.7287661412176698
