,valence,arousal,dominance,joy,anger,sadness,fear,disgust
#langs,12.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0
pearson,0.5446351470174019,0.5705777918093156,0.5225614689777069,0.9065136245419922,0.8502092463294133,0.574343100592146,0.8738062540153663,0.26844015420168865
mae,0.032266155453220424,0.05650815328387943,0.08087162486684502,0.024577556512276978,0.11606783482242955,0.14298653771362616,0.0803567903610233,0.16228304498717233
