,valence,arousal,dominance,joy,anger,sadness,fear,disgust,shared,(%)
en1,0.9405435609709296,0.7606949829924109,0.8789710139173658,,,,,,1032.0,100.0
en2,0.9216252940779894,0.7088461113723797,0.7820968154315312,,,,,,1034.0,100.0
en3,,,,0.8901462225005696,0.8349806361131958,0.7983797338029665,0.8212445372211199,0.7766369616973999,1033.0,99.0
es1,0.9053450614650231,0.7142919506624432,0.8233776708781071,,,,,,612.0,59.0
es2,0.7894753810331261,0.6378608588409527,,,,,,,7685.0,54.0
es3,0.9093228921609321,0.7295708165704287,,,,,,,363.0,41.0
es4,,,,0.8646219161688868,0.8417285948130869,0.8403745958073809,0.840676111135479,0.757108373282326,363.0,41.0
es5,,,,0.6421621064229975,0.715109724255357,0.7202320641198624,0.7207155445265412,0.6250031424311693,6096.0,58.0
es6,,,,0.8009125839218099,0.7419352218672277,0.7065216091371112,0.7218310369716273,0.6835993835682113,992.0,43.0
de1,0.8886572455690952,0.7802533455062408,0.6791269907200064,,,,,,677.0,67.0
de2,0.7487495021882352,0.637842374190502,,,,,,,2329.0,80.0
de3,0.7995854078629454,0.6679624436046029,,,,,,,916.0,91.0
de4,,,,0.8013227687891085,0.6604178524918146,0.5161975071217033,0.6792576572558333,0.4246159918750002,848.0,43.0
pl1,0.8307075076359284,0.7369821509433042,0.6026943484128594,,,,,,2271.0,46.0
pl2,0.8153987356282486,0.60894145185094,,,,,,,1381.0,47.0
pl3,,,,0.7751776472868832,0.7070909794872758,0.6595868146204381,0.6868626470615791,0.7107335182660547,1381.0,47.0
zh1,0.8407163187904659,0.5610569960579903,,,,,,,1685.0,60.0
zh2,0.8411353937400048,0.4396718469615119,,,,,,,701.0,63.0
it,0.885933298339724,0.6264345137426971,0.7642678132131437,,,,,,660.0,58.0
pt,0.8931923446825171,0.7063530022353652,0.7527209885414803,,,,,,645.0,62.0
nl,0.8503054188604715,0.578690075983422,,,,,,,2064.0,48.0
id,0.8409938035589856,0.6390773319844566,0.6254803511435066,,,,,,696.0,46.0
el,0.8601823237048303,0.49582304073826583,0.7373795693165016,,,,,,633.0,61.0
tr1,0.7503545108756733,0.5653990386941881,,,,,,,721.0,35.0
tr2,,,,0.7749408610236558,0.6867266219126961,0.7140443409125405,0.6972193038656683,0.6478291118575408,721.0,35.0
hr,0.8098099857918973,0.6639920121224622,,,,,,,1331.0,44.0
